Приоритетна област	Програма	Модул	Вид	Средства	Година
Компетентности и таланти	НП СИСТЕМА ЗА НАЦИОНАЛНО СТАНДАРТИЗИРАНО ВЪНШНО ОЦЕНЯВАНЕ		Национална програма	3439411	2019
Компетентности и таланти	НП УЧЕНИЧЕСКИ ОЛИМПИАДИ И СЪСТЕЗАНИЯ	Модул 1 Национални и международни ученически олимпиади и състезания	Национална програма	1438667	2019
Компетентности и таланти	НП УЧЕНИЧЕСКИ ОЛИМПИАДИ И СЪСТЕЗАНИЯ	Модул Осигуряване на обучение на талантливи ученици за участие в ученическите олимпиади Модул 2	Национална програма	1489399	2019
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Оценяване и одобряване на познавателни книжки, учебници и учебни комплекти	Национална програма	510218	2019
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Подобряване на условията за експериментална работа по природни науки	Национална програма	1684802	2019
Компетентности и таланти	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Културните институции като образователна среда	Национална програма	467957	2019
Компетентности и таланти	НП IT БИЗНЕСЪТ ПРЕПОДАВА		Национална програма	15036	2019
Компетентности и таланти	НП БЕЗ СВОБОДЕН ЧАС	Модул Без свободен час в училище	Национална програма	2600953	2019
Мотивирани и креативни учители	НП КВАЛИФИКАЦИЯ		Национална програма	818084	2019
Мотивирани и креативни учители	НП ОПТИМИЗИРАНЕ НА ВЪТРЕШНАТА СТРУКТУРА НА ПЕРСОНАЛА		Национална програма	63494573	2019
Мотивирани и креативни учители	НП МОТИВИРАНИ УЧИТЕЛИ		Национална програма	519620	2019
Мотивирани и креативни учители	BG05M2OP001-2.010-0001 Квалификация за професионално развитие на педагогическите специалисти		Европейски програми и проекти	4356702.55	2019
Сплотени училищни общности и системна работа с родителите	НП УСПЯВАМЕ ЗАЕДНО		Национална програма	280977	2019
