Приоритетна област	Дейност	Перо	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Персонал (§ 01-00, § 02-00, § 05-00)	2019	16390168	42246
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Издръжка (§ 10-00, § 19-00)	2019	5242736	36449
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2019	5000	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 318 ""Подготвителна група в училище"""	Капиталови разходи (§ 52-00, § 53-00)	2019	23290	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Персонал (§ 01-00, § 02-00, § 05-00)	2019	33840545	75007
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Издръжка (§ 10-00, § 19-00)	2019	8011928	34057
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Стипендии (§ 40-00)	2019	191353	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Капиталови разходи (§ 52-00, § 53-00)	2019	644549	2119
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2019	743106	0
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Персонал (§ 01-00, § 02-00, § 05-00)	2019	1389456177	12666046
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Издръжка (§ 10-00, § 19-00)	2019	818084	0
Сплотени училищни общности и системна работа с родителите	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Издръжка (§ 10-00, § 19-00)	2019	697168	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	Издръжка (§ 10-00, § 19-00)	2019	220053604	12968381
